32391	32391	23608	2018/06/05	23:00:00	東京喰種：ｒｅ　＃１０「ゆれる　ｔｈｉｎｋ」
32738	32738	1040	2018/06/06	01:39:00	ルパン三世　ＰＡＲＴ５　＃10　ＡｎｉｃｈＵ
32391	32391	23608	2018/06/07	22:30:00	銀河英雄伝説　Ｄｉｅ　Ｎｅｕｅ　Ｔｈｅｓｅ　＃９「それぞれの星」
32391	32391	23608	2018/06/12	23:00:00	東京喰種：ｒｅ　＃１１
32738	32738	1040	2018/06/13	01:54:00	ルパン三世　ＰＡＲＴ５　＃11　ＡｎｉｃｈＵ
32391	32391	23608	2018/06/14	22:30:00	銀河英雄伝説　Ｄｉｅ　Ｎｅｕｅ　Ｔｈｅｓｅ　＃１０「幕間狂言」
32391	32391	23608	2018/06/19	23:00:00	東京喰種：ｒｅ　＃１２[終]
32738	32738	1040	2018/06/20	01:39:00	ルパン三世　ＰＡＲＴ５　＃12　ＡｎｉｃｈＵ
32391	32391	23608	2018/06/21	22:30:00	銀河英雄伝説　Ｄｉｅ　Ｎｅｕｅ　Ｔｈｅｓｅ　＃１１「死線（前編）」
32391	32391	23608	2018/06/28	22:30:00	銀河英雄伝説　Ｄｉｅ　Ｎｅｕｅ　Ｔｈｅｓｅ　＃１２「死線（後編）」[終]
32738	32738	1040	2018/07/04	01:34:00	ルパン三世　ＰＡＲＴ５　＃１３　ＡｎｉｃｈＵ
