テレ玉１	テレ玉	32295	32295	29752	1	0	1	1
テレ玉２	テレ玉	32295	32295	29753	1	0	1	1
テレ玉３	テレ玉	32295	32295	29754	1	0	1	1
テレ玉携帯	テレ玉	32295	32295	30136	192	1	1	0
チバテレ１	チバテレビ	32327	32327	27704	1	0	1	1
チバテレ２	チバテレビ	32327	32327	27705	1	0	1	1
チバテレ携帯	チバテレビ	32327	32327	28088	192	1	1	0
ｔｖｋ１	ｔｖｋ	32375	32375	24632	1	0	1	1
ｔｖｋ２	ｔｖｋ	32375	32375	24633	1	0	1	1
ｔｖｋ３	ｔｖｋ	32375	32375	24634	1	0	1	1
ｔｖｋワンセグ１	ｔｖｋ	32375	32375	25016	192	1	1	0
ｔｖｋワンセグ２	ｔｖｋ	32375	32375	25017	192	1	1	0
ＴＯＫＹＯ　ＭＸ１	ＴＯＫＹＯ　ＭＸ	32391	32391	23608	1	0	1	1
ＴＯＫＹＯ　ＭＸ１	ＴＯＫＹＯ　ＭＸ	32391	32391	23609	1	0	1	1
ＴＯＫＹＯ　ＭＸ２	ＴＯＫＹＯ　ＭＸ	32391	32391	23610	1	0	1	1
ＴＯＫＹＯ　ＭＸ臨時	ＴＯＫＹＯ　ＭＸ	32391	32391	23615	161	0	1	0
ＭＸワンセグ１	ＴＯＫＹＯ　ＭＸ	32391	32391	23992	192	1	1	0
ＭＸワンセグ２	ＴＯＫＹＯ　ＭＸ	32391	32391	23993	192	1	1	0
Ｊ：ＣＯＭテレビ	Ｊ：ＣＯＭテレビ	32397	32397	23656	1	0	1	1
Ｊ：ＣＯＭテレビ	Ｊ：ＣＯＭテレビ	32397	32397	23657	1	0	1	1
Ｊ：ＣＯＭチャンネル	Ｊ：ＣＯＭチャンネル	32399	32399	23672	1	0	1	1
Ｊ：ＣＯＭチャンネル	Ｊ：ＣＯＭチャンネル	32399	32399	23673	1	0	1	1
ＮＨＫ総合１・東京	ＮＨＫ総合・東京	32736	32736	1024	1	0	1	1
ＮＨＫ総合２・東京	ＮＨＫ総合・東京	32736	32736	1025	1	0	1	1
ＮＨＫ携帯Ｇ・東京	ＮＨＫ総合・東京	32736	32736	1408	192	1	1	0
ＮＨＫＥテレ１東京	ＮＨＫＥテレ東京	32737	32737	1032	1	0	1	1
ＮＨＫＥテレ２東京	ＮＨＫＥテレ東京	32737	32737	1033	1	0	1	1
ＮＨＫＥテレ３東京	ＮＨＫＥテレ東京	32737	32737	1034	1	0	1	1
ＮＨＫ携帯２	ＮＨＫＥテレ東京	32737	32737	1416	192	1	1	0
日テレ１	日本テレビ	32738	32738	1040	1	0	1	1
日テレ２	日本テレビ	32738	32738	1041	1	0	1	1
日テレ臨時	日本テレビ	32738	32738	1044	161	0	1	0
日本テレビ	日本テレビ	32738	32738	1424	192	1	1	0
ＴＢＳ１	ＴＢＳ	32739	32739	1048	1	0	1	1
ＴＢＳ２	ＴＢＳ	32739	32739	1049	1	0	1	1
Ｇガイド	ＴＢＳ	32739	32739	1183	192	0	1	0
ＴＢＳ	ＴＢＳ	32739	32739	1432	192	1	1	0
フジテレビ	フジテレビジョン	32740	32740	1056	1	0	1	1
フジテレビ	フジテレビジョン	32740	32740	1057	1	0	1	1
フジテレビ	フジテレビジョン	32740	32740	1058	1	0	1	1
フジテレビ	フジテレビジョン	32740	32740	1440	192	1	1	0
テレビ朝日	テレビ朝日	32741	32741	1064	1	0	1	1
テレビ朝日	テレビ朝日	32741	32741	1065	1	0	1	1
テレビ朝日	テレビ朝日	32741	32741	1066	1	0	1	1
テレビ朝日	テレビ朝日	32741	32741	1448	192	1	1	0
テレビ東京１	テレビ東京	32742	32742	1072	1	0	1	1
テレビ東京２	テレビ東京	32742	32742	1073	1	0	1	1
テレビ東京３	テレビ東京	32742	32742	1074	1	0	1	1
臨時サービス	テレビ東京	32742	32742	1078	161	0	1	0
テレビ東京携帯	テレビ東京	32742	32742	1456	192	1	1	0
放送大学１	放送大学	32744	32744	1088	1	0	1	1
放送大学２	放送大学	32744	32744	1089	1	0	1	1
放送大学３	放送大学	32744	32744	1090	1	0	1	1
